#separator:Tab
#html:false
#tags column:7
#columns:ID	Front	Back	Scope	Note	Source	Tags
cn-accelerated-contribution:zh-en	出资加速到期	accelerated payment of subscribed capital	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国公司法（2023修订）	公司不能清偿到期债务时，依法要求尚未到出资期限的股东提前缴纳认缴出资的制度。 请求主体包括公司及已到期债权的债权人，触发条件不是一般经营亏损。 项目释译，非官方译文；这是第五十四条制度的概括性名称。	oll-cn-core:cn-accelerated-contribution | 中华人民共和国公司法（2023修订） 第54条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5233383/content.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::company domain::finance jurisdiction::CN
cn-accelerated-contribution:en-zh	accelerated payment of subscribed capital	出资加速到期	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国公司法（2023修订）	公司不能清偿到期债务时，依法要求尚未到出资期限的股东提前缴纳认缴出资的制度。 请求主体包括公司及已到期债权的债权人，触发条件不是一般经营亏损。 项目释译，非官方译文；这是第五十四条制度的概括性名称。	oll-cn-core:cn-accelerated-contribution | 中华人民共和国公司法（2023修订） 第54条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5233383/content.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::company domain::finance jurisdiction::CN
cn-acceptance:zh-en	承诺	acceptance of an offer	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国民法典（2020）	受要约人同意要约的意思表示。 承诺生效时合同原则上成立，法律或当事人另有规定、约定的除外。 项目释译，非官方译文；这里是订约程序中的 acceptance，不是任何日常 promise。	oll-cn-core:cn-acceptance | 中华人民共和国民法典（2020） 第479,483条 https://www.court.gov.cn/zixun/xiangqing/233181.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::contracts jurisdiction::CN
cn-acceptance:en-zh	acceptance of an offer	承诺	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国民法典（2020）	受要约人同意要约的意思表示。 承诺生效时合同原则上成立，法律或当事人另有规定、约定的除外。 项目释译，非官方译文；这里是订约程序中的 acceptance，不是任何日常 promise。	oll-cn-core:cn-acceptance | 中华人民共和国民法典（2020） 第479,483条 https://www.court.gov.cn/zixun/xiangqing/233181.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::contracts jurisdiction::CN
cn-actual-controller:zh-en	实际控制人	actual controller	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国公司法（2023修订）	通过投资关系、协议或者其他安排能够实际支配公司行为的人。 判断核心是实际支配能力，不能仅凭登记的股东名单判断。 项目释译，非官方译文；与 controlling shareholder 分开标注。	oll-cn-core:cn-actual-controller | 中华人民共和国公司法（2023修订） 第265条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5233383/content.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::company jurisdiction::CN
cn-actual-controller:en-zh	actual controller	实际控制人	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国公司法（2023修订）	通过投资关系、协议或者其他安排能够实际支配公司行为的人。 判断核心是实际支配能力，不能仅凭登记的股东名单判断。 项目释译，非官方译文；与 controlling shareholder 分开标注。	oll-cn-core:cn-actual-controller | 中华人民共和国公司法（2023修订） 第265条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5233383/content.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::company jurisdiction::CN
cn-adaptation-right:zh-en	改编权	right of adaptation	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国著作权法（2020修正）	改变作品并创作出具有独创性的新作品的权利。 条文要求产生具有独创性的新作品；不能简单等同任何文件格式转换。 项目释译，非官方译文；adaptation 是作品改编语境。	oll-cn-core:cn-adaptation-right | 中华人民共和国著作权法（2020修正） 第10条 https://www.ncac.gov.cn/xxfb/flfg/flfg_532/202103/t20210309_50530.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::intellectual_property jurisdiction::CN
cn-adaptation-right:en-zh	right of adaptation	改编权	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国著作权法（2020修正）	改变作品并创作出具有独创性的新作品的权利。 条文要求产生具有独创性的新作品；不能简单等同任何文件格式转换。 项目释译，非官方译文；adaptation 是作品改编语境。	oll-cn-core:cn-adaptation-right | 中华人民共和国著作权法（2020修正） 第10条 https://www.ncac.gov.cn/xxfb/flfg/flfg_532/202103/t20210309_50530.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::intellectual_property jurisdiction::CN
cn-admin-case-filing:zh-en	行政处罚立案	case filing for an administrative penalty	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国行政处罚法（2021修订）	行政机关发现涉嫌应受行政处罚的行为并符合立案标准时，将案件正式纳入调查处理程序的步骤。 第五十四条把全面、客观、公正调查与符合立案标准时及时立案并列规定；“立案”并不意味着违法事实已经最终认定。 项目释译，非官方译文；case filing 在此表示行政处罚执法流程中的立案，不等同于法院 docketing。	oll-cn-admin-labor:cn-admin-case-filing | 中华人民共和国行政处罚法（2021修订） 第54条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5211778/content.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::administrative jurisdiction::CN
cn-admin-case-filing:en-zh	case filing for an administrative penalty	行政处罚立案	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国行政处罚法（2021修订）	行政机关发现涉嫌应受行政处罚的行为并符合立案标准时，将案件正式纳入调查处理程序的步骤。 第五十四条把全面、客观、公正调查与符合立案标准时及时立案并列规定；“立案”并不意味着违法事实已经最终认定。 项目释译，非官方译文；case filing 在此表示行政处罚执法流程中的立案，不等同于法院 docketing。	oll-cn-admin-labor:cn-admin-case-filing | 中华人民共和国行政处罚法（2021修订） 第54条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5211778/content.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::administrative jurisdiction::CN
cn-admin-defense-right:zh-en	申辩权	right to present a defense	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国行政处罚法（2021修订）	行政处罚程序中，当事人针对拟处罚事实、理由、依据或证据提出辩解和反驳的程序性权利。 行政机关必须复核当事人提出的事实、理由和证据；成立的应予采纳，并不得因申辩而给予更重处罚。 项目释译，非官方译文；present a defense 用于突出对拟处罚事项的辩解，不把该权利等同于刑事辩护权。	oll-cn-admin-labor:cn-admin-defense-right | 中华人民共和国行政处罚法（2021修订） 第7,44,45条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5211778/content.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::administrative jurisdiction::CN
