中文	繁體	英文	拼音	领域	适用法域	来源地区	类型	来源语境	学习注释	来源记录	条目ID	数据许可	译文审核	中文释义	译法说明	法律依据
(事件的)来龙去脉,背景	(事件的)來龍去脈,背景	context		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:114	tw-tipo-trademark-0c83fb60058c453cbc1c	OGDL-Taiwan-1.0	source_attributed			
【美】代理人	【美】代理人	alternate		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:25	tw-tipo-trademark-151a4eb8086d9c1c4c98	OGDL-Taiwan-1.0	source_attributed			
一、二审院长	一、二審院長	Chief Judge		unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:2	tw-judicial-b23c0f040211f5425ba9	OGDL-Taiwan-1.0	source_attributed			
一事不再理	一事不再理	res judicata	yi1 shi4 bu4 zai4 li3	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:6	tw-judicial-23dae6508d5dbd3ecd3f	OGDL-Taiwan-1.0	source_attributed			
一件使用样本	一件使用樣本	a specimen of use	yi1 jian4 shi3 yong4 yang4 ben3	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:535	tw-tipo-trademark-9963ab16369566a15c88	OGDL-Taiwan-1.0	source_attributed			
一体不可分割的	一體不可分割的	unitary	yi1 ti3 bu4 ke3 fen1 ge1 de5	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:585	tw-tipo-trademark-00121850590cf3b57ef5	OGDL-Taiwan-1.0	source_attributed			
一夫一妻婚姻制度	一夫一妻婚姻制度	monogamy	yi1 fu1 yi1 qi1 hun1 yin1 zhi4 du4	family	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:3	tw-judicial-7a0a3d3295f394e5112e	OGDL-Taiwan-1.0	source_attributed			
一次退休金	一次退休金	Lump-sum Retirement Payment	yi1 ci4 tui4 xiu1 jin1	unclassified	待核查	TW	unclassified	人事處		tw-judicial:4	tw-judicial-cef1ff10cf43b1f2000a	OGDL-Taiwan-1.0	source_attributed			
一般保证	一般保證	general guarantee	yi4 ban1 bao3 zheng4	contracts,finance	CN	INTERNATIONAL	term	中华人民共和国民法典（2020）	原则上保证人享有先诉抗辩，具体例外包括破产受理、书面放弃等条文情形。	oll-cn-core:cn-general-guarantee	cn-general-guarantee	CC-BY-4.0	project_authored	约定在债务人不能履行债务时，由保证人承担责任的保证方式。	项目释译，非官方译文；general 是本法保证方式名称，不表示责任无限。	中华人民共和国民法典（2020） 第687条 https://www.court.gov.cn/zixun/xiangqing/233181.html
一般公众	一般公眾	general public	yi4 ban1 gong1 zhong4	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:252	tw-tipo-trademark-639dea57b0df3f9859c3	OGDL-Taiwan-1.0	source_attributed			
一般商业名称	一般商業名稱	common commercial name	yi4 ban1 shang1 ye4 ming2 cheng1	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:91	tw-tipo-trademark-7b6cd3690e7096ded2d9	OGDL-Taiwan-1.0	source_attributed			
